eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Moon,FALSE,384400,363300,405500,0.0549,5.145,3.344,1.62,2380,33,1738.1,1736,0.0012,NA,27.3217,655.728,NA,7.35E+22,21968000000,Secondary,Earth,NA,NA,NA,1.81158949,326.0861082,2.25E-09,3.87E-05,0.002569555,6.61E+25
Phobos,FALSE,9376,9234,9518,0.0151,1.075,1.9,0.0057,11.39,33,13,9.1,0,26.8 x 22.4 x 18.4,0.31891,0.7653,12/08/1877,1.06E+16,5783.61,Secondary,Mars,NA,NA,NA,74.27207765,13368.97398,2.25E-09,5.58E-12,6.27E-05,1.60E+22
Deimos,FALSE,23458,23456,23471,2.00E-04,1.075,1.75,0.003,5.556,33,7.8,5.1,0,15.0 x 12 x 10.4,1.26244,30.29856,12/08/1877,2.40E+15,9997.8,Secondary,Mars,NA,NA,NA,29.68603462,5343.486231,2.25E-09,1.26E-12,1.57E-04,5.79E+20
Io,FALSE,421800,0,0,0.004,0.036,3.53,1.79,0,1821.5,0,0,0,NA,1.76914,42.4593,07/01/1610,8.93E+22,NA,Secondary,Jupiter,NA,NA,NA,1.655200332,297.9360597,6.84E-06,4.70E-05,0.002819559,6.67E+25
Europa,FALSE,671100,0,0,0.009,0.466,3.01,1.31,0,1560.8,0,0,0,NA,3.55118,85.2293,08/01/1610,4.80E+22,NA,Secondary,Jupiter,NA,NA,NA,1.039938608,187.1889495,5.02E-06,2.53E-05,0.004486026,1.42E+25
Ganymede,FALSE,1070400,0,0,0.001,0.177,1.94,1.428,0,2631.2,0,0,0,NA,7.15455,171.7093,11/01/1610,1.48E+23,NA,Secondary,Jupiter,NA,NA,NA,0.653001868,117.5403363,1.43E-05,7.79E-05,0.007155182,1.72E+25
Callisto,FALSE,1882700,0,0,0.007,0.192,1.83,1.235,0,2410.3,0,0,0,NA,16.68902,400.536,07/01/1610,1.08E+23,NA,Secondary,Jupiter,NA,NA,NA,0.37114373,66.80587135,1.20E-05,5.68E-05,0.012585072,4.05E+24
Amalthea,FALSE,181400,181150,182840,0.003,0.38,3.1,0.02,0,84,0,0,0,125 x 73 x 64,0.49818,11.9563,09/09/1892,7.50E+18,NA,Secondary,Jupiter,NA,NA,NA,3.839173098,691.0511577,1.46E-08,3.95E-09,0.001212584,3.03E+22
Himalia,FALSE,11461000,9782900,13082000,0.162,27.5,1,0.062,0,85,0,0,0,NA,250.5662,7.7808,3/12/04,9.50E+18,NA,Secondary,Jupiter,NA,NA,NA,0.060764942,10.93768956,1.49E-08,5.00E-09,0.076612053,9.61E+18
Elara,FALSE,11741000,0,0,0.217,26.63,1,0.031,0,40,0,0,0,NA,259.6528,0,2/1/05,8.00E+17,NA,Secondary,Jupiter,NA,NA,NA,0.059311984,10.67615706,3.30E-09,4.21E-10,0.078483737,7.7076E+17
Pasiphae,FALSE,23624000,0,0,0.409,151.4,1,0.022,0,18,0,0,0,NA,743.6,0,27/01/1908,3.00E+17,NA,Secondary,Jupiter,NA,NA,NA,0.029476803,5.305824585,6.68E-10,1.58E-10,0.157916686,7.13927E+16
Sinope,FALSE,23939000,0,0,0.25,158.1,1,0.014,0,14,0,0,0,NA,758.9,0,21/07/1914,8.00E+16,NA,Secondary,Jupiter,NA,NA,NA,0.029088767,5.235978111,4.04E-10,4.21E-11,0.160022331,1.85403E+16
Lysithea,FALSE,11717000,0,0,0.112,28.3,1,0.013,0,12,0,0,0,NA,259.22,0,6/7/38,8.00E+16,NA,Secondary,Jupiter,NA,NA,NA,0.059431083,10.69759495,2.97E-10,4.21E-11,0.078323307,7.73921E+16
Carme,FALSE,23404000,0,0,0.253,164.9,1,0.017,0,15,0,0,0,NA,734.2,0,30/07/1938,1.00E+17,NA,Secondary,Jupiter,NA,NA,NA,0.02975376,5.355676807,4.64E-10,5.26E-11,0.156446077,2.42471E+16
Ananke,FALSE,21276000,0,0,0.244,148.9,1,0.01,0,10,0,0,0,NA,629.8,0,28/09/1951,4.00E+16,NA,Secondary,Jupiter,NA,NA,NA,0.03272946,5.891302876,2.06E-10,2.11E-11,0.142221276,1.1736E+16
Leda,FALSE,11165000,0,0,0.164,27.46,1,0.0073,0,5,0,0,0,NA,240.92,0,11/9/74,6.00E+17,NA,Secondary,Jupiter,NA,NA,NA,0.062368742,11.22637349,5.16E-11,3.16E-10,0.074633415,6.39253E+17
Thebe,FALSE,221900,218000,226000,0.018,1.08,1,0.02,0,49,0,0,0,58 x 49 x 42,0.6745,16.188,5/3/79,8.00E+17,NA,Secondary,Jupiter,NA,NA,NA,3.13831005,564.8958089,4.95E-09,4.21E-10,0.00148331,2.16E+21
Adrastea,FALSE,129000,0,0,0.002,0.054,1,0.002,0,8,0,0,0,10 x 8 x 7,0.29826,0.7158,8/7/79,2.00E+15,NA,Secondary,Jupiter,NA,NA,NA,5.398062016,971.6511628,1.32E-10,1.05E-12,8.62E-04,1.60E+19
Metis,FALSE,128000,127974,128026,0.001,0.019,1,0.005,0,22,0,0,0,30 x 20 x 17,0.29478,0.7075,4/3/79,1.00E+17,NA,Secondary,Jupiter,NA,NA,NA,5.44034375,979.261875,9.98E-10,5.26E-11,8.56E-04,8.11E+20
Callirrhoe,FALSE,24102000,0,0,0.283,147.1,1,0.0031,0,4,0,0,0,NA,758.8,0,6/10/99,8.7E+14,NA,Secondary,Jupiter,NA,NA,NA,0.028891627,5.200492905,3.30E-11,4.58E-13,0.161111919,1.98908E+14
Themisto,FALSE,7507000,5909000,8874300,0.242,43.08,1,0.0029,0,4,0,0,0,NA,130.02,0,30/09/1975,6.9E+14,NA,Secondary,Jupiter,NA,NA,NA,0.092759558,16.69672039,3.30E-11,3.63E-13,0.050181196,1.62613E+15
Megaclite,FALSE,14146700,0,0,0.421,152.8,1,0,0,2.7,0,0,0,NA,752.8,0,23/11/2000,2.1E+14,NA,Secondary,Jupiter,NA,NA,NA,0.049223119,8.860161451,1.50E-11,1.11E-13,0.094564849,1.39363E+14
Taygete,FALSE,23363000,0,0,0.252,165.2,1,0,0,2.5,0,0,0,NA,732.2,0,23/11/2000,1.6E+14,NA,Secondary,Jupiter,NA,NA,NA,0.02980544,5.364979241,1.29E-11,8.42E-14,0.156172009,3.89316E+13
Chaldene,FALSE,23179000,0,0,0.251,165.2,1,0,0,1.9,0,0,0,NA,723.8,0,23/11/2000,7.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.030042016,5.407562966,7.44E-12,3.95E-14,0.154942045,1.85401E+13
Harpalyke,FALSE,21104000,0,0,0.226,148.6,1,0,0,2.2,0,0,0,NA,623.3,0,23/11/2000,1.2E+14,NA,Secondary,Jupiter,NA,NA,NA,0.03299584,5.939251137,9.98E-12,6.32E-14,0.141071527,3.57842E+13
Kalyke,FALSE,23564000,0,0,0.245,165.2,1,0,0,2.6,0,0,0,NA,743,0,23/11/2000,1.9E+14,NA,Secondary,Jupiter,NA,NA,NA,0.029551205,5.319216941,1.39E-11,1.00E-13,0.157515611,4.54459E+13
Iocaste,FALSE,21272000,0,0,0.216,149.4,1,0,0,2.6,0,0,0,NA,631.5,0,23/11/2000,1.9E+14,NA,Secondary,Jupiter,NA,NA,NA,0.032735267,5.892348063,1.39E-11,1.00E-13,0.142194537,5.57669E+13
Erinome,FALSE,23283000,0,0,0.266,164.9,1,0,0,1.6,0,0,0,NA,728.3,0,23/11/2000,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029907813,5.383406262,5.28E-12,2.37E-14,0.155637242,1.10249E+13
Isonoe,FALSE,23231000,0,0,0.246,165.2,1,0,0,1.9,0,0,0,NA,725.5,0,23/11/2000,7.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029974771,5.39545874,7.44E-12,3.95E-14,0.155289643,1.84572E+13
